"REMOTE","STATION","date","weeknumber","Total_2020","Total_2019"
"R237","182ND STREET-183RD STREET     ",2020-01-04,"01",22846,21827
"R238","STEINWAY ST-BROADWAY          ",2020-01-04,"01",62828,68065
"R239","GREENPOINT AVE                ",2020-01-04,"01",36543,20033
"R240","GRAND ST-CHRISTIE ST          ",2020-01-04,"01",149421,130807
"R241","15TH ST-PROSPECT PARK WEST    ",2020-01-04,"01",22404,20216
"R242","18TH AVE-MCDONALD AVE         ",2020-01-04,"01",17118,16056
"R243","170TH STREET-JEROME AVENUE    ",2020-01-04,"01",35411,37011
"R244","BURNSIDE AVE-JEROME AVE       ",2020-01-04,"01",38399,39986
"R245","ST LAWRENCE AVE-WEST AVE      ",2020-01-04,"01",19379,18843
"R246","PROSPECT AVENUE-4TH AVENUE    ",2020-01-04,"01",20262,19442
"R247","55TH ST-NEW UTRECHT AVE       ",2020-01-04,"01",9552,10400
"R248","1ST AVENUE-14TH STREET        ",2020-01-04,"01",53923,73231
"R249","GRAHAM AVE-METROPOLITAN AVE   ",2020-01-04,"01",29072,33079
"R250","GRAND ST-BUSHWICK AVE         ",2020-01-04,"01",20197,22765
"R251","96TH ST-CENTRAL PARK WEST     ",2020-01-04,"01",32601,29186
"R252","HIGH ST-CADMAN PLAZA WEST     ",2020-01-04,"01",45254,41716
"R253","174TH-175TH ST-GRAND CONCOU   ",2020-01-04,"01",22534,3506
"R254","GRAND AVE-QUEENS BOULEVARD    ",2020-01-04,"01",83407,82074
"R255","VAN WYCK BLVD-MAIN STREET     ",2020-01-04,"01",21480,21186
"R256","NASSAU AVE-MANHATTAN AVE      ",2020-01-04,"01",35883,22994
"R257","EAST BROADWAY-MADISON ST      ",2020-01-04,"01",62919,63599
"R258","4TH AVENUE-9TH STREET         ",2020-01-04,"01",46071,42807
"R259","ROOSEVELT ISLAND              ",2020-01-04,"01",34862,31317
"R260","181ST STREET-ST NICHOLAS AV   ",2020-01-04,"01",51173,51467
"R261","40TH STREET-LOWERY STREET     ",2020-01-04,"01",43051,40662
"R262","BEVERLEY ROAD -EAST 15TH ST   ",2020-01-04,"01",14175,13928
"R263","AVENUE H-EAST 16TH STREET     ",2020-01-04,"01",12009,12211
"R264","OCEAN PKWAY-BRIGHTON BCH AV   ",2020-01-04,"01",11232,14402
"R265","MONTROSE AVENUE               ",2020-01-04,"01",22340,27052
"R266","HALSEY STREET-WYCKOFF AVE     ",2020-01-04,"01",28831,32080
"R267","46TH STREET-BROADWAY          ",2020-01-04,"01",35514,35104
"R268","METROPOLITAN AVE-LORIMER ST   ",2020-01-04,"01",51322,52005
"R269","BEDFORD AVENUE-NOSTRAND AVE   ",2020-01-04,"01",32370,32984
"R270","SMITH STREET-9TH STREET       ",2020-01-04,"01",17242,16881
"R271","AVENUE X-MCDONALD AVENUE      ",2020-01-04,"01",10729,10299
"R272","28TH STREET-7TH AVENUE        ",2020-01-04,"01",47912,48406
"R273","145TH STREET-BROADWAY         ",2020-01-04,"01",42686,42952
"R274","191ST STREET-ST NICHOLAS AV   ",2020-01-04,"01",36946,37455
"R275","183RD STREET-JEROME AVENUE    ",2020-01-04,"01",24886,26224
"R276","JACKSON AVENUE-VERNON BLVD    ",2020-01-04,"01",59248,54249
"R277","PRESIDENT ST-NOSTRAND AVE     ",2020-01-04,"01",12761,13038
"R278","25TH STREET-4TH AVENUE        ",2020-01-04,"01",11760,11227
"R279","JEFFERSON STREET-WYCKOFF AV   ",2020-01-04,"01",28864,30051
"R280","190TH STREET-OVERLOOK TERR    ",2020-01-04,"01",20006,17338
"R281","72ND STREET-CENTRAL PK WEST   ",2020-01-04,"01",39240,34727
"R282","SPRING STREET-6TH AVENUE      ",2020-01-04,"01",43924,48181
"R283","LAFAYETTE AVENUE-FULTON ST    ",2020-01-04,"01",21606,22416
"R284","CLINTON AVENUE-FULTON ST      ",2020-01-04,"01",22960,22568
"R285","MOTT AVENUE-BEACH 22ND ST     ",2020-01-04,"01",17516,18335
"R286","MYRTLE AVENUE-MARCY AVENUE    ",2020-01-04,"01",22439,15715
"R287","CLASSON AVENUE-LAFAYETTE AV   ",2020-01-04,"01",20179,17339
"R288","7TH AVENUE-9TH STREET         ",2020-01-04,"01",40836,37319
"R289","FT HAMILTON PKY-GREENWOOD     ",2020-01-04,"01",20719,18929
"R290","HOUSTON STREET-VARICK ST      ",2020-01-04,"01",41519,39882
