"REMOTE","STATION"
"R411","PARK PLACE-FRANKLIN AVENUE    "
"R412","BOTANIC GARDEN-FRANKLIN AVE   "
"R413","KNICKERBOCKER AVE-MYRTLE AV   "
"R414","HOWARD BEACH-159TH AVE        "
"R415","BROAD CHANNEL-NOEL ROAD       "
"R416","HOLLAND-BEACH 90TH STREET     "
"R417","PLAYLAND-BEACH 98TH STREET    "
"R418","SEASIDE BEACH-105TH STREET    "
"R419","ROCKAWAY PARK-BEACH 116TH     "
"R420","DITMAS AVE-MCDONALD AVE       "
"R421","AVENUE I-MCDONALD AVENUE      "
"R422","MCDONALD AVE-22ND AVE         "
"R423","AVENUE N-MCDONALD AVENUE      "
"R424","AVENUE P-MCDONALD AVENUE      "
"R425","AVENUE U-MCDONALD AVENUE      "
"R426","NEPTUNE AVE-MCDONALD AVENUE   "
"R427","MIDDLETOWN ROAD-WESTCHESTER   "
"R428","BUHRE AVE-WESTCHESTER AVE     "
"R429","PELHAM BAY PARK-BRUCKNER BL   "
"R430","PELHAM PKWY-ESPLANADE         "
"R431","DYRE AVENUE-LIGHT STREET      "
"R432","CHAUNCEY STREET-ROCKAWAY AV   "
"R433","ALABAMA AVENUE-FULTON ST      "
"R434","VAN SICLEN AVENUE-FULTON ST   "
"R435","CLEVELAND STREET-FULTON ST    "
"R436","NORWOOD AVENUE-FULTON ST      "
"R437","CRESCENT STREET-FULTON ST     "
"R438","RALPH AVENUE-FULTON STREET    "
"R439","ROCKAWAY AVE-HOPKINSON AVE    "
"R440","LIBERTY AVE-PENNSYLVANIA AV   "
"R441","VAN SICLEN AVE-PITKIN AVE     "
"R442","SHEPHERD AVE-PITKIN AVE       "
"R443","170TH STREET-GRAND CONC.      "
"R444","238TH ST-WHITE PLAINS ROAD    "
"R445","138TH STREET-3RD AVE          "
"R446","BROOK AVENUE-138TH STREET     "
"R447","CYPRESS AVENUE-138TH STREET   "
"R448","EAST 143RD ST-SOUTHERN BLVD   "
"R449","EAST 149TH ST-SOUTHERN BLVD   "
"R450","LONGWOOD AVE-SOUTHERN BLVD    "
"R451","WINTHROP ST-NOSTRAND AVE      "
"R452","72ND STREET & BROADWAY        "
"R453","23RD STREET-6TH AVENUE        "
"R455","25TH STREET-4TH AVENUE        "
"R456","HOYT STREET-FULTON STREET     "
"R460","MARCY AVENUE-BROADWAY         "
"R461","BROADWAY LAFAYETTE-BLEECKER   "
"R462","CANAL STREET-BROADWAY         "
"R463","CANAL ST-LAFAYETTE ST EAST    "
"R464","AQUEDUCT RACE TRACK           "
"R468","RI TRAMWAY (MANHATTAN)        "
"R469","RI TRAMWAY (ROOSEVELT)        "
"R535","AIRTRAIN @ HOWARD BEACH       "
"R536","AIRTRAIN JAMAICA CENTER 1     "
"R540","PA-PATH WORLD TRADE CNTR      "
"R541","PA-PATH THIRTY THIRD ST       "
"R542","PA-PATH TWENTY THIRD ST       "
"R543","PA-PATH EXCHANGE PLACE        "
"R544","PA-PATH HARRISON              "
"R545","PA-PATH 14TH STREET           "
"R546","PA-PATH PAVONIA/NEWPORT       "
"R547","PA-PATH 9TH STREET            "
"R548","PA-PATH CHRISTOPHER ST        "
"R549","PA-PATH NEWARK                "
"R550","PA-PATH HOBOKEN               "
"R551","PA-PATH GROVE ST              "
"R552","PA-PATH JOURNAL SQUARE        "
"R555","SBS-M15 @ LIVINGSTON PLAZA    "
"R556","SBS-BX12 @ LIVINGSTON PLAZA   "
"R557","SBS-M34 @ LIVINGSTON PLAZA    "
"R558","SBS-BX41 @ LIVINGSTON PLAZA   "
"R559","SBS-B44 @ LIVINGSTON PLAZA    "
"R560","SBS-M60 @ LIVINGSTON PLAZA    "
"R561","SBS-M86 @ LIVINGSTON PLAZA    "
"R562","MTABC - EASTCHESTER 2         "
"R563","SBS-B46 @ LIVINGSTON PLAZA    "
"R564","SBS-Q44 @ LIVINGSTON PLAZA    "
"R567","SBS-M23 @ LIVINGSTON PLAZA    "
"R568","SBS-M79 @ LIVINGSTON PLAZA    "
"R569","SBS-BX6 @ LIVINGSTON PLAZA    "
"R570","72ND STREET - 2 AVENUE        "
"R571","86TH STREET - 2 AVENUE        "
"R572","96TH STREET - 2 AVENUE        "
"R573","SBS-Q52/53 @ LIVINGSTON PLAZA "
"R574","SBS-B82 @ LIVINGSTON PLAZA    "
"R575","SBS-M14 @ LIVINGSTON PLAZA    "
